RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,IsMultipleBias,TotalNumberOfIndividualVictimsAdult,TotalNumberOfIndividualVictimsJuvenile,TotalNumberOfSuspectsAdult,TotalNumberOfSuspectsJuvenile,SuspectsEthnicityAsAGroup
CA00-0000028012,2014,5,56,5604,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Islamic (Muslim),Religion,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028013,2014,6,56,5601,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Gay (Male),Sexual Orientation,Person,,Damage to vehicle,,,,,,
CA00-0000028014,2014,5,1,112,1,1,Black or African American,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028015,2014,5,1,112,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Heterosexual,Sexual Orientation,Person,,Graffiti,,,,,,
CA00-0000028016,2014,5,1,121,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028017,2014,5,1,197,1,1,White,1,Simple Assault,Violent Crimes,School-College/University,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028018,2014,5,1,197,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,School-College/University,Anti-White,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,,,,,,
CA00-0000028019,2014,5,7,718,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Jewish,Religion,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028020,2014,5,19,1955,3,3,Hispanic,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000028021,2014,5,19,1955,2,2,Hispanic,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Shotgun,Verbal slurs,,,,,,
CA00-0000028022,2014,5,30,3003,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Daubing of swastika,,,,,,
CA00-0000028023,2014,5,31,3105,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,,Verbal slurs,,,,,,
CA00-0000028024,2014,5,44,4402,1,1,White,1,Simple Assault,Violent Crimes,Hotel/Motel/etc.,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028025,2014,5,17,1702,4,4,White,3,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028026,2014,6,38,3801,1,1,Black or African American,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other gun (pellet, BB, stun gun, etc.)",Verbal slurs,,,,,,
CA00-0000028027,2014,3,43,4303,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000028028,2014,5,37,3711,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028029,2014,5,37,3711,1,1,White,1,Simple Assault,Violent Crimes,Convenience Store,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028030,2014,5,37,3711,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028031,2014,5,37,3711,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028032,2014,4,30,3015,1,1,Unknown,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028033,2014,1,27,2712,1,1,Black or African American,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028034,2014,5,38,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,,Graffiti,,,,,,
CA00-0000028035,2014,5,26,2601,1,1,White,2,Robbery,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000028036,2014,5,1,106,1,1,White,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000028037,2014,5,33,3300,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,
CA00-0000028039,2014,5,19,1949,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Other,,,,,,
CA00-0000028040,2014,5,19,1949,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Grocery/Supermarket,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,,Graffiti,,,,,,
CA00-0000028041,2014,5,19,1949,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028042,2014,5,19,1949,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000028043,2014,4,19,1950,1,1,White,4,Aggravated Assault,Violent Crimes,Other/Unknown,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028044,2014,5,19,1915,2,2,White,1,Aggravated Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000028045,2014,5,19,1952,1,1,Hispanic,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,Handgun,Other,,,,,,
CA00-0000028046,2014,5,19,1996,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Government,,Other,,,,,,
CA00-0000028047,2014,5,19,1900,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Jail/Prison,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028048,2014,5,19,1915,2,2,Hispanic,4,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Other,,,,,,
CA00-0000028049,2014,5,19,191R,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000028050,2014,5,19,1954,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000028051,2014,5,19,191R,2,2,Black or African American,2,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028052,2014,6,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028053,2014,6,56,5601,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028055,2014,5,19,1996,2,2,White,4,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000028056,2014,5,19,1900,1,1,Hispanic,1,Simple Assault,Violent Crimes,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028060,2014,5,19,1900,1,1,Unknown,1,Intimidation,Violent Crimes,Government/Public Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000028061,2014,5,19,191R,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,,,,,,,
CA00-0000028062,2014,5,19,1949,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028063,2014,4,34,3400,2,2,Black or African American,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028064,2014,5,12,1200,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028065,2014,3,19,1942,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,"Other (bottle, rocks, spitting)",Rock throwing,,,,,,
CA00-0000028066,2014,2,19,1975,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Graffiti,,,,,,
CA00-0000028067,2014,1,37,3709,2,2,White,1,Intimidation,Violent Crimes,School-Elementary/Secondary,Anti-Lesbian,Sexual Orientation,Person,,Verbal slurs,,,,,,
CA00-0000028068,2014,5,10,1005,1,1,White,1,Simple Assault,Violent Crimes,Park/Playground,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028069,2014,5,10,1005,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Jewish,Religion,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000028070,2014,5,34,3402,3,3,White,5,Intimidation,Violent Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Person,,Threatening letters/flyers/email,,,,,,
CA00-0000028071,2014,6,38,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Religious,,Graffiti,,,,,,
CA00-0000028072,2014,6,38,3801,2,2,Group of Multiple Races,5,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028073,2014,6,19,1942,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Religion,Religion,Religious,,Graffiti,,,,,,
CA00-0000028074,2014,6,37,3700,1,1,Hispanic,2,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028075,2014,6,37,3700,1,1,Hispanic,4,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,
CA00-0000028076,2014,6,43,4300,1,1,White,1,Aggravated Assault,Violent Crimes,Jail/Prison,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028079,2014,6,19,1942,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,,Graffiti,,,,,,
CA00-0000028081,2014,6,19,1942,1,1,Hispanic,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Other,,,,,,
CA00-0000028082,2014,6,19,1942,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Daubing of swastika,,,,,,
CA00-0000028083,2014,6,30,3008,4,4,White,5,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028084,2014,6,19,1941,1,1,Hispanic,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028085,2014,7,19,1941,1,1,White,1,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028086,2014,6,30,3019,3,3,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,,,,,,
CA00-0000028087,2014,5,45,4502,1,1,White,1,Simple Assault,Violent Crimes,School-Elementary/Secondary,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028089,2014,6,19,1946,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000028090,2014,6,7,705,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000028091,2014,6,39,3906,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000028092,2014,7,19,1942,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,
CA00-0000028093,2014,6,1,121,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Graffiti,,,,,,
CA00-0000028094,2014,6,1,121,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Damage to vehicle,,,,,,
CA00-0000028095,2014,6,1,121,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Damage to vehicle,,,,,,
CA00-0000028096,2014,5,15,1501,1,1,Hispanic,3,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028097,2014,5,30,3003,1,1,White,1,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000028098,2014,6,19,1942,1,1,Hispanic,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028099,2014,6,19,1942,1,1,Hispanic,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000028101,2014,6,27,2708,1,1,Hispanic,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Vehicle,Other,,,,,,
CA00-0000028102,2014,6,19,1942,1,1,White,1,Intimidation,Violent Crimes,Community Center,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000028103,2014,6,19,1942,1,1,White,1,Intimidation,Violent Crimes,Community Center,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000028104,2014,6,56,5609,1,1,White,4,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Graffiti,,,,,,
CA00-0000028105,2014,6,37,3725,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Government/Public Building,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,,Hanging in Effigy,,,,,,
CA00-0000028106,2014,6,24,2400,2,2,White,3,Simple Assault,Violent Crimes,Park/Playground,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028107,2014,6,50,5008,2,2,White,1,Aggravated Assault,Violent Crimes,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000028108,2014,7,19,1941,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Religion,Religion,Religious,"Personal weapons (hands, feet, teeth, etc.)",Graffiti,,,,,,
CA00-0000028109,2014,6,5,501,1,0,Unknown,0,Arson,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,"Arson, fire",Cross burning,,,,,,
CA00-0000028110,2014,6,23,2301,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000028111,2014,6,39,3905,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Unknown,Daubing of swastika,,,,,,
CA00-0000028112,2014,6,44,4402,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028113,2014,6,44,4402,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Government,,Graffiti,,,,,,
CA00-0000028114,2014,6,44,4402,1,1,Unknown,1,Simple Assault,Violent Crimes,Amusement Park,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028115,2014,6,54,5407,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000028116,2014,7,19,1942,1,1,Hispanic,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,,,,,,
CA00-0000028117,2014,6,30,3026,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028118,2014,6,33,3311,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Damage to vehicle,,,,,,
CA00-0000028119,2014,6,37,3711,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Daubing of swastika,,,,,,
CA00-0000028120,2014,6,37,3711,1,1,White,1,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028121,2014,6,37,3711,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Graffiti,,,,,,
CA00-0000028122,2014,6,1,113,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028123,2014,6,33,3310,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000028124,2014,6,37,3711,1,1,Black or African American,3,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,Handgun,Verbal slurs,,,,,,
CA00-0000028125,2014,6,33,3331,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028126,2014,6,37,3711,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000028127,2014,7,38,3801,1,1,White,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Arab,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028128,2014,6,34,3400,3,3,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,
CA00-0000028129,2014,6,36,3631,1,1,White,1,Aggravated Assault,Violent Crimes,Grocery/Supermarket,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028130,2014,6,36,3613,2,2,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,,,,,,
CA00-0000028131,2014,6,36,3633,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry,Business,,Graffiti,,,,,,
CA00-0000028132,2014,6,49,4900,2,2,Hispanic,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028133,2014,5,33,3313,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000028135,2014,7,30,3010,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Annoying telephone calls/fax,,,,,,
CA00-0000028136,2014,7,30,3010,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028137,2014,6,21,2100,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Graffiti,,,,,,
CA00-0000028138,2014,6,26,2601,1,1,White,3,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000028139,2014,6,1,197,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Jewish,Religion,Government,,Graffiti,,,,,,
CA00-0000028140,2014,6,34,3404,2,2,Black or African American,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028141,2014,6,44,4400,1,1,White,1,Aggravated Assault,Violent Crimes,Lake/Waterway/Beach,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000028142,2014,6,37,3706,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Other,"Personal weapons (hands, feet, teeth, etc.)",Damage to vehicle,,,,,,
CA00-0000028143,2014,6,50,5002,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000028144,2014,6,1,108,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Black or African American,Race/Ethnicity/Ancestry,Religious,,Graffiti,,,,,,
